,period,short description,temprature
0,Tonight,Clear,Low: 43 °F
1,Saturday,Sunny,High: 70 °F
2,SaturdayNight,Clear,Low: 45 °F
3,Sunday,Mostly Sunnythen SlightChance Rain,High: 59 °F
4,SundayNight,Slight ChanceRain thenPartly Cloudy,Low: 32 °F
5,Monday,Sunny,High: 48 °F
6,MondayNight,Clear,Low: 29 °F
7,Tuesday,Sunny,High: 50 °F
8,TuesdayNight,Partly Cloudy,Low: 31 °F
